"AcousticSite","Year","ALL","EPTFUS_count","LASBOR_count","LASCIN_count","LASNOC_count","MYOLUC_count","MYOSEP_count","PERSUB_count","MYOLEI_count","MYOSOD_count","NYCHUM_count","CORRAF_count","ANTPAL_count","LASINT_count","TADBRA_count","Lat","Long","dist_to_water","water_size","num_nights","num_detectable_species"
"B1",2010,751,4,77,77,120,368,2,38,0,0,0,0,0,0,0,43.4153,-93.071,8556.4577963552,0.07,84,7
"B1",2011,720,6,86,43,73,414,1,31,0,0,0,0,0,0,0,43.4153,-93.071,8556.4577963552,0.07,153,7
"B1",2012,296,0,32,47,25,156,0,18,0,0,0,0,0,0,0,43.4153,-93.071,8556.4577963552,0.07,62,7
"B2",2010,517,13,78,106,114,153,1,23,0,0,0,0,0,0,0,43.4155,-93.1263,5683.6150449728,0.04,87,7
"B2",2011,252,5,54,5,20,136,2,12,0,0,0,0,0,0,0,43.4155,-93.1263,5683.6150449728,0.04,182,7
"B2",2012,66,0,13,7,9,31,0,4,0,0,0,0,0,0,0,43.4155,-93.1263,5683.6150449728,0.04,46,7
"B3",2010,419,7,56,40,167,103,1,29,0,0,0,0,0,0,0,43.3691,-93.1042,4965.58950187907,0.04,83,7
"B3",2011,334,5,60,26,83,124,0,19,0,0,0,0,0,0,0,43.3691,-93.1042,4965.58950187907,0.04,161,7
"B3",2012,158,9,29,19,24,67,0,5,0,0,0,0,0,0,0,43.3691,-93.1042,4965.58950187907,0.04,55,7
"BM1500",2010,217,15,21,35,108,11,0,10,0,0,0,0,0,0,0,43.6964,-96.2397,4638.70822249597,0.05,91,7
"BM1500",2011,728,41,147,133,279,45,0,40,0,0,0,0,0,0,0,43.6964,-96.2397,4638.70822249597,0.05,191,7
"BM5K",2010,250,10,24,116,82,5,0,6,0,0,0,0,0,0,0,43.7028,-96.3021,8236.14060041453,0.07,97,7
"BMR",2010,82,3,14,23,29,4,1,2,0,0,0,0,0,0,0,43.6986,-96.2112,2761.7612079514,0.05,87,7
"BMR",2011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,43.6986,-96.2112,2761.7612079514,0.05,26,7
"J1500",2010,153,9,19,45,51,10,0,15,0,0,0,0,0,0,0,43.7254,-95.0149,2252.96851219987,793.17,83,7
"J1500",2011,246,5,21,69,117,14,0,8,0,0,0,0,0,0,0,43.7254,-95.0149,2252.96851219987,793.17,179,7
"J500",2010,415,11,44,138,143,32,1,15,0,0,0,0,0,0,0,43.7182,-95.0279,961.095238905812,793.17,98,7
"J500",2011,324,8,59,88,124,11,0,10,0,0,0,0,0,0,0,43.7182,-95.0279,961.095238905812,793.17,172,7
